//Index   StatType   OptionIndex1   OptionIndex2   OptionIndex3   Comment
5134      3          29             0              0              //Guardian Gloves
5135      3          0              32             0              //Storm Crow Gloves
5146      3          0              34             0              //Adamantine Gloves
5160      3          35             36             0              //Red Wing Gloves
5182      3          39             0              0              //Scale Gloves
5183      3          40             0              0              //Silk Gloves
5184      3          41             0              0              //Sphinx Gloves
5185      3          42             0              0              //Violent Wind Gloves
5186      3          43             0              0              //Dark Soul Gloves
5187      3          44             0              0              //Dragon Gloves
5188      3          45             0              0              //Guardian Gloves
5189      3          46             0              0              //Legendary Gloves
5190      3          47             0              0              //Red Wing Gloves
5191      3          48             0              0              //Atlans Gloves
5214      3          73             0              0              //Hirat Gloves
5215      3          75             0              0              //Sate Gloves
5216      3          76             0              0              //Robust Gloves
5217      3          77             0              0              //Princie Gloves
5219      5          80             0              0              //Bloodangel Wizard Gloves
5220      5          82             0              0              //Bloodangel Elf Gloves (A)
5221      5          84             0              0              //Bloodangel Summoner Gloves
5222      5          86             0              0              //Bloodangel Magic Gloves (A)
5223      5          88             0              0              //Bloodangel Lord Gloves
5225      5          92             0              0              //Bloodangel Lancer Gloves
5227      5          133            0              0              //Awakening Soul Wizard Gloves
5228      5          134            0              0              //Awakening Soul Elf Gloves (A)
5229      5          135            0              0              //Awakening Soul Summoner Gloves
5230      5          136            0              0              //Awakening Soul Magic Gloves (A)
5231      5          137            0              0              //Awakening Soul Lord Gloves
5233      5          139            0              0              //Awakening Soul Lancer Gloves
5234      5          140            0              0              //Awakening Soul Elf Gloves (B)
5235      5          141            0              0              //Awakening Soul Magic Gloves (B)
5238      2          148            149            0              //Rune Legendary Gloves
5239      2          142            0              0              //Kanaz Gloves
5242      5          144            0              0              //Bloodangel Runist Glove
5243      5          145            0              0              //Darkangel Runist Gloves
5244      2          146            0              0              //Rune Spink Gloves
5245      2          147            0              0              //Rune Legendary Gloves
5246      2          148            149            0              //[Bound] Rune Legendary Gloves
5247      5          160            0              0              //Holyangel Runist Gloves
5248      5          161            0              0              //Awakening Soul Runist Gloves
5249      5          162            0              0              //Blue Eye Runist Gloves
5250      3          94             95             0              //[Bound] Dragon Gloves
5251      3          96             97             0              //[Bound] Legendary Gloves
5252      3          98             99             0              //[Bound] Guardian Gloves
5253      3          100            101            0              //[Bound] Atlans Gloves
5254      3          102            103            0              //[Bound] Adamantine Gloves
5255      3          104            105            0              //[Bound] Red Winged Gloves
5257      3          108            109            0              //[Bound] Princie Gloves
5259      5          111            0              0              //Darkangel Wizard Gloves
5260      5          112            0              0              //Darkangel Elf Gloves (A)
5261      5          113            0              0              //Darkangel Summoner Gloves
5262      5          114            0              0              //Darkangel Magic Gloves (A)
5263      5          115            0              0              //Darkangel Lord Gloves
5265      5          117            0              0              //Darkangel Lancer Gloves
5271      5          119            0              0              //Holyangel Wizard Gloves
5272      5          120            0              0              //Holyangel Elf Gloves (A)
5273      5          121            0              0              //Holyangel Summoner Gloves
5274      5          122            0              0              //Holyangel Magic Gloves (A)
5275      5          123            0              0              //Holyangel Lord Gloves
5277      5          125            0              0              //Holyangel Lancer Gloves
5278      5          126            0              0              //Bloodangel Elf Gloves (B)
5279      5          127            0              0              //Darkangel Elf Gloves (B)
5280      5          128            0              0              //Holyangel Elf Gloves (B)
5281      5          129            0              0              //Bloodangel Magic Gloves (B)
5282      5          130            0              0              //Darkangel Magic Gloves (B)
5283      5          131            0              0              //Holyangel Magic Gloves (B)
5285      5          151            0              0              //Blue Eye Wizard Gloves
5286      5          152            0              0              //Blue Eye Elf Gloves (A)
5287      5          153            0              0              //Blue Eye Summoner Gloves
5288      5          154            0              0              //Blue Eye Magic Gloves (A)
5289      5          155            0              0              //Blue Eye Lord Gloves
5291      5          157            0              0              //Blue Eye Lancer Gloves
5292      5          158            0              0              //Blue Eye Elf Gloves (B)
5293      5          159            0              0              //Blue Eye Magic Gloves (B)
5297      3          163            164            0              //Nightwing Gloves
5300      5          169            0              0              //Bloodangel Slayer Gloves
5301      5          170            0              0              //Darkangel Slayer Gloves
5302      5          171            0              0              //Holyangel Slayer Gloves
5303      5          172            0              0              //Soul Slayer Gloves
5304      5          173            0              0              //Blue Eye Slayer Gloves
5305      5          185            0              0              //Silver Heart Slayer Gloves
5306      3          165            0              0              //Slayer Gloves (B)
5307      3          166            0              0              //Slayer Demonic Gloves (B)
5308      3          167            168            0              //[Bound] Slayer Demonic Gloves
5310      5          175            0              0              //Silverheart Wizard Gloves
5311      5          176            0              0              //Silverheart Elf Gloves (A)
5312      5          177            0              0              //Silverheart Summoner Gloves
5313      5          178            0              0              //Silverheart Magic Gloves (A)
5314      5          179            0              0              //Silverheart Lord Gloves
5316      5          181            0              0              //Silverheart Lancer Gloves
5317      5          182            0              0              //Silverheart Elf Gloves (B)
5318      5          183            0              0              //Silverheart Magic Gloves (B)
5319      5          184            0              0              //Silverheart Runist Gloves
5329      3          195            0              0              //Frere Gloves
5338      3          202            0              0              //Scale Gunner Glove
5339      3          203            0              0              //Frere Gloves
5340      3          204            205            0              //[Bound] Frere Gloves
5342      5          207            0              0              //Manticore Wizard Gloves
5343      5          208            0              0              //Manticore Elf Gloves
5344      5          209            0              0              //Manticore Summoner Gloves
5345      5          210            0              0              //Manticore Magic Gloves
5346      5          211            0              0              //Manticore Lord Gloves
5348      5          213            0              0              //Manticore Lancer Gloves
5349      5          214            0              0              //Manticore Elf Gloves
5350      5          215            0              0              //Manticore Magic Gloves
5351      5          216            0              0              //Manticore Rune Wizard Gloves
5352      5          217            0              0              //Manticore Slayer Gloves
5358      3          220            221            0              //Magic Flare Gloves
5361      5          226            0              0              //Blood Angel Light Wizard Gloves
5362      5          227            0              0              //Dark Angel Light Wizard Gloves
5363      5          228            0              0              //Holy Angel Light Wizard Gloves
5364      5          229            0              0              //Soul White Wizard Gloves
5365      5          230            0              0              //Blue Eye White Wizard Gloves
5366      5          231            0              0              //Silver Heart White Wizard Glove
5367      5          232            0              0              //Manticore White Wizard Gloves
5369      3          222            0              0              //Glimmer Gloves
5370      3          223            0              0              //Light Ray Gloves
5371      3          224            225            0              //[Bound] Light Ray Gloves
5376      3          233            234            0              //Noble Pick Market
5379      5          239            0              0              //Blood Angel Mage Gloves
5380      5          240            0              0              //Dark Angel Mage Gloves
5381      5          241            0              0              //Holy Angel Mage Gloves
5382      5          242            0              0              //Soul Mage Gloves
5383      5          243            0              0              //Blue Eye Mage Gloves
5384      5          244            0              0              //Silver Heart Mage Gloves
5385      5          245            0              0              //Manticore Mage Gloves
5387      3          235            0              0              //Mage Sphinx Gloves
5388      3          236            0              0              //Mage Legendary Gloves
5389      3          237            238            0              //[Bound] Mage Legendary Gloves
5391      5          247            0              0              //Brilliant Wizard Gloves
5392      5          248            0              0              //Brilliant Elf Gloves
5393      5          249            0              0              //Brilliant Summoner Gloves
5394      5          250            0              0              //Brilliant Magic Gloves
5395      5          251            0              0              //Brilliant Lord Gloves
5397      5          253            0              0              //Brilliant Lancer Gloves
5398      5          254            0              0              //Brilliant Elf Gloves
5399      5          255            0              0              //Brilliant Magic Gloves
5400      5          256            0              0              //Brilliant Rune Wizard Gloves
5401      5          257            0              0              //Brilliant Slayer Gloves
5632      3          3              0              0              //Bronze Boots
5633      3          11             0              0              //Dragon Boots
5634      3          14             0              0              //Pad Boots
5635      3          0              20             0              //Legendary Boots
5636      3          15             16             0              //Bone Boots
5637      3          1              2              0              //Leather Boots
5638      3          6              0              0              //Scale Boots
5639      3          17             18             0              //Sphinx Boots
5640      3          7              0              0              //Brass Boots
5641      3          9              0              0              //Plate Boots
5642      3          21             22             0              //Vine Boots
5643      3          24             0              0              //Silk Boots
5644      3          25             26             0              //Wind Boots
5645      3          28             0              0              //Spirit Boots
5646      3          29             30             0              //Guardian Boots
5647      3          31             0              0              //Storm Crow Boots
5658      3          0              34             0              //Adamantine Boots
5672      3          0              36             0              //Red Wing Boots
5691      1          38             0              0              //Sacred Fire Boots
5694      3          39             0              0              //Scale Boots
5695      3          40             0              0              //Silk Boots
5696      3          41             0              0              //Sphinx Boots
5697      3          42             0              0              //Violent Wind Boots
5698      3          43             0              0              //Dark Soul Boots
5699      3          44             0              0              //Dragon Boots
5700      3          45             0              0              //Guardian Boots
5701      3          46             0              0              //Legendary Boots
5702      3          47             0              0              //Red Wing Boots
5703      3          48             0              0              //Atlans Boots
5704      3          49             0              0              //Storm Jahad Boots
5726      3          73             0              0              //Hirat Boots
5727      3          75             0              0              //Sate Boots
5728      3          76             0              0              //Robust Boots
5729      3          77             0              0              //Princie Boots
5730      5          78             0              0              //Bloodangel Knight Boots
5734      5          86             0              0              //Bloodangel Magic Boots (A)
5736      5          90             0              0              //Bloodangel Fighter Boots
5738      5          132            0              0              //Awakening Soul Knight Boots
5742      5          136            0              0              //Awakening Soul Magic Boots (A)
5744      5          138            0              0              //Awakening Soul Fighter Boots
5747      5          141            0              0              //Awakening Soul Magic Boots (B)
5750      2          148            149            0              //Rune Legendary Boots
5751      2          142            0              0              //Kanaz Boots
5756      2          146            0              0              //Rune Spink Boots
5757      2          147            0              0              //Rune Legendary Boots
5758      2          148            149            0              //[Bound] Rune Legendary Boots
5762      3          94             95             0              //[Bound] Dragon Boots
5763      3          96             97             0              //[Bound] Legendary Boots
5764      3          98             99             0              //[Bound] Guardian Boots
5765      3          100            101            0              //[Bound] Atlans Boots
5766      3          102            103            0              //[Bound] Adamantine Boots
5767      3          104            105            0              //[Bound] Red Winged Boots
5768      3          106            107            0              //[Bound] Storm Zahard Boots
5769      3          108            109            0              //[Bound] Princie Boots
5770      5          110            0              0              //Darkangel Knight Boots
5774      5          114            0              0              //Darkangel Magic Boots (A)
5776      5          116            0              0              //Darkangel Fighter Boots
5782      5          118            0              0              //Holyangel Knight Boots
5786      5          122            0              0              //Holyangel Magic Boots (A)
5788      5          124            0              0              //Holyangel Fighter Boots
5793      5          129            0              0              //Bloodangel Magic Boots (B)
5794      5          130            0              0              //Darkangel Magic Boots (B)
5795      5          131            0              0              //Holyangel Magic Boots (B)
5796      5          150            0              0              //Blue Eye Knight Boots
5800      5          154            0              0              //Blue Eye Magic Boots (A)
5802      5          156            0              0              //Blue Eye Fighter Boots
5805      5          159            0              0              //Blue Eye Magic Boots (B)
5809      3          163            0              0              //Night Wing Boots
5818      3          165            0              0              //Slayer Boots (B)
5819      3          166            0              0              //Slayer Demonic Boots (B)
5820      3          167            168            0              //[Bound] Slayer Demonic Boots
5821      5          174            0              0              //Silverheart Knight Boots
5825      5          178            0              0              //Silverheart Magic Boots (A)
5827      5          180            0              0              //Silverheart Fighter Boots
5830      5          183            0              0              //Silverheart Magic Boots (B)
5832      5          188            0              0              //Bloodangel Knight Boots (Convic
5833      5          189            0              0              //Darkangel Knight Boots (Convict
5834      5          190            0              0              //Hollyangel Knight Boots (Convic
5835      5          191            0              0              //Soul Knight Boots (Conviction)
5836      5          192            0              0              //Blue Knight Boots (Conviction)
5837      5          193            0              0              //Silver Heart Knight Boots (Conv
5841      3          194            0              0              //Frere Boots
5844      5          196            0              0              //Bloodangel Gun Crasher Boots
5845      5          197            0              0              //Darkangel Gun Crasher Boots
5846      5          198            0              0              //Holyangel Gun Crasher Boots
5847      5          199            0              0              //Soul Gun Crasher Boots
5850      3          202            0              0              //Scale Gunner Boots
5851      3          203            0              0              //Frere Boots
5852      3          204            205            0              //[Bound] Frere Boots
5853      5          206            0              0              //Manticore Knight Boots
5857      5          210            0              0              //Manticore Magic Boots
5859      5          212            0              0              //Manticore Fighter Boots
5862      5          215            0              0              //Manticore Magic Boots
5865      5          218            0              0              //Manticore Knight Boots (Convict
5866      5          219            0              0              //Manticore Gun Crasher Boots
5870      3          220            0              0              //Magic Flare Boots
5881      3          222            0              0              //Glimmer Boots
5882      3          223            0              0              //Light Ray Boots
5883      3          224            225            0              //[Bound] Light Ray Boots
5888      3          233            0              0              //Noble Pixie Boots
5899      3          235            0              0              //Mage Sphinx Boots
5900      3          236            0              0              //Mage Legendary Boots
5901      3          237            238            0              //[Bound] Mage Legendary Boots
5902      5          246            0              0              //Brilliant Knight Boots
5906      5          250            0              0              //Brilliant Magic Boots
5908      5          252            0              0              //Brilliant Fighter Boots
5911      5          255            0              0              //Brilliant Magic Boots
5914      5          258            0              0              //Brilliant Knight Boots (Belief)
5915      5          259            0              0              //Brilliant Gun Crasher Boots
6664      1          1              73             0              //Ring of Ice
6665      3          9              33             75             //Ring of Poison
6668      2          5              0              0              //Pendant of Lighting
6669      0          7              0              0              //Pendant of Fire
6677      2          19             32             0              //Ring of Fire
6678      0          21             12             0              //Ring of Earth
6679      1          9              71             0              //Ring of Wind
6680      2          13             35             0              //Ring of Magic
6681      0          13             34             0              //Pendant of Ice
6682      1          15             0              0              //Pendant of Wind
6683      3          31             0              0              //Pendant of Water
6684      *          29             0              0              //Pendant of Ability
end
