//Index   Name                                 Damage   MP      BP      Range   Radio   Delay   Attr   Type   Flag   Effect   RelSkill   ReqLevel   ReqStrength   ReqDexterity   ReqVitality   ReqEnergy   ReqLeadership   ReqKillCount   ReqGuildStatus   DW      DK      FE      MG      DL      SU      RF      GL      RW      SL      GC      KM      LM
288       "Death Scythe"                       75       120     20      0       6       0       6      1      0      306      0          85         0             0              0             930         0               0              0                0       0       0       0       0       3       0       0       0       0       0       0       0
289       "Darkness"                           0        100     50      0       0       5000    0      *      0      301      0          83         0             0              0             300         0               0              0                0       0       0       0       0       1       0       0       0       0       0       0       0
291       "Elite Monster Skill"                0        0       0       0       0       0       0      *      0      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       0       0       0       0       0       0       0
292       "Sword Inertia"                      10       5       0       0       6       0       6      1      0      0        0          30         50            100            0             0           0               0              0                0       0       0       0       0       0       0       0       0       1       0       0       0
293       "Bat Flock"                          90       20      5       0       6       0       6      1      0      315      0          150        100           380            0             0           0               0              0                0       0       0       0       0       0       0       0       0       2       0       0       0
294       "Pierce Attack"                      170      30      10      6       3       0       6      1      0      0        0          160        300           1100           0             0           0               0              0                0       0       0       0       0       0       0       0       0       3       0       0       0
295       "Detection"                          0        100     100     0       0       5000    0      *      0      316      0          350        0             800            0             0           0               0              0                0       0       0       0       0       0       0       0       0       3       0       0       0
297       "Demolish"                           0        50      0       0       5       60000   0      *      0      317      0          400        0             1450           0             0           0               0              0                0       0       0       0       0       0       0       0       0       3       0       0       0
300       "Add Item Durability Rate"           0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
301       "Add Defense Success Rate PvP"       0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
302       "Add Max SD"                         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
303       "Add MP Recovery Rate"               0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
304       "Add Poison Resistance"              0        0       0       0       0       0       6      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       0       0       0
305       "Add Item Durability Rate"           0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
306       "Add SD Recovery Rate"               0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
307       "Add HP Recovery Rate"               0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
308       "Add Lightning Resistance"           0        0       0       0       0       0       6      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       0       0       0
309       "Add Defense"                        0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
310       "Add BP Recovery Rate"               0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
311       "Add Ice Resistance"                 0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       0       0       0
312       "Add Item Durability Rate"           0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
313       "Add Defense Success Rate"           0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
315       "Add Armor Set Bonus"                0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
316       "Add Reflect Damage"                 0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
317       "Add Energy"                         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       0       3       3
318       "Add Vitality"                       0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       0       3       3
319       "Add Agility"                        0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       0       3       3
320       "Add Strength"                       0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       0       3       3
322       "Add DK Wing Defense"                0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       0       0       0       0
324       "Add DK Wing Damage"                 0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       0       0       0       0
325       "Add Attack Success Rate"            0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
326       "Add Cyclone Improved"               0        9       0       2       0       0       6      0      4      0        22         0          0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       3       0       0       0
327       "Add Slash Improved"                 0        10      0       2       0       0       6      0      4      0        23         0          0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       3       0       0       0
328       "Add Falling Slash Improved"         0        9       0       3       0       0       6      0      4      0        19         0          0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       0       0       0       0
329       "Add Lunge Improved"                 0        9       0       2       0       0       6      0      4      0        20         0          0             0              0             0           0               0              0                0       3       0       0       0       0       0       3       0       0       0       0       0
330       "Add Twisting Slash Improved"        0        10      10      0       3       0       6      0      4      0        41         0          0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       3       0       0       0
331       "Add Rageful Blow Improved"          60       25      22      0       4       0       6      0      4      0        42         170        0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       3       0       0       0
332       "Add Twisting Slash Enhanced"        0        22      20      0       3       0       6      0      4      0        41         0          0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       0       0       0       0
333       "Add Rageful Blow Enhanced"          60       50      30      0       4       0       6      0      4      0        42         170        0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       0       0       0       0
334       "Add Max HP"                         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
335       "Add Weapon Damage"                  0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       3       3       0       0
336       "Add Death Stab Improved"            70       15      13      2       2       0       6      0      4      0        43         160        0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       0       0       0       0
338       "Add Max MP"                         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
339       "Add Death Stab Enhanced"            70       30      26      2       2       0       6      0      4      0        43         160        0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       0       0       0       0
340       "Add Strike of Destruction Enhanced" 110      30      24      6       3       0       6      0      4      86       232        100        0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       0       0       0       0
341       "Add Max BP"                         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
342       "Add Death Stab Mastered"            70       30      26      2       2       0       6      0      4      0        43         160        0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       0       0       0       0
343       "Add Strike of Destruction Mastered" 110      30      24      6       3       0       6      0      4      86       232        100        0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       0       0       0       0
344       "Add Blood Storm"                    0        87      29      3       4       5000    6      0      4      0        344        0          0             0              0             0           0               0              0                0       3       0       3       0       0       0       0       0       0       0       0       0
345       "Add Combo Damage"                   0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       0       0       0       0
346       "Add Blood Storm Improved"           0        95      31      3       4       3000    6      0      4      0        344        0          0             0              0             0           0               0              0                0       3       0       3       0       0       0       0       0       0       0       0       0
347       "Add Attack Success Rate PvP"        0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
348       "Add Two Hand Sword Damage"          0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       3       0       3       0       0       0       0       0       0       0       0       0
349       "Add One Hand Sword Damage"          0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       3       0       3       0       0       0       0       0       0       0       0       0
350       "Add Mace Damage"                    0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       0       0       0       0
351       "Add Spear Damage"                   0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       0       0       0       0
352       "Add Two Hand Sword Mastery"         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       3       0       3       0       0       0       0       0       0       0       0       0
353       "Add One Hand Sword Mastery"         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       3       0       3       0       0       0       0       0       0       0       0       0
354       "Add Mace Mastery"                   0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       0       0       0       0
355       "Add Spear Mastery"                  0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       0       0       0       0
356       "Add Greater Life Improved"          0        24      26      0       5       0       0      *      4      8        48         120        0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       3       0       0       0
357       "Add MP Consumption Rate"            0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
358       "Add Hunt SD"                        0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
359       "Add Hunt HP"                        0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
360       "Add Greater Life Enhanced"          0        26      28      0       5       0       0      *      4      135      48         120        0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       3       0       0       0
361       "Add Min Physi Damage"               0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       3       0       3       3       0       0       3       0       3       3       0       0
362       "Add Hunt MP"                        0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
363       "Add Greater Life Mastered"          0        28      30      0       5       0       0      *      4      136      48         120        0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       0       0       0       0
364       "Add Max Physi Damage"               0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       3       0       3       3       0       0       3       0       3       3       0       0
366       "Add Critical Damage Rate"           0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
367       "Add Restore MP Rate"                0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
368       "Add Restore HP Rate"                0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
369       "Add Excellent Damage Rate"          0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
370       "Add Double Damage Rate"             0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
371       "Add Ignore Defense Rate"            0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
372       "Add Restore SD Rate"                0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       3       3       3       3       3       0       3       3       3       3       3       3
375       "Add DW Wing Defense"                0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       0       0       0       0       0       0       0       0       0       0       0       0
377       "Add DW Wing Damage"                 0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       0       0       0       0       0       0       0       0       0       0       0       0
378       "Add Flame Improved"                 25       55      0       0       6       0       6      1      4      0        5          35         0             0              0             160         0               0              0                3       0       0       0       0       0       0       0       3       0       0       0       3
379       "Add Lightning Improved"             17       20      0       6       0       0       6      1      4      0        3          13         0             0              0             72          0               0              0                3       0       0       0       0       0       0       0       3       0       0       3       0
380       "Add Magic Circle Improved"          0        220     55      0       0       0       0      *      4      138      233        220        0             0              0             1058        0               0              0                3       0       0       0       0       0       0       0       3       0       0       3       3
381       "Add Inferno Improved"               100      220     0       0       6       0       6      1      4      0        14         88         0             0              0             724         0               0              0                3       0       0       0       0       0       0       0       3       0       0       0       3
382       "Add Blast Improved"                 70       165     0       0       6       0       6      1      4      0        13         80         0             0              0             500         0               0              0                3       0       0       0       0       0       0       0       3       0       0       3       0
383       "Add Magic Circle Enhanced"          0        220     55      0       0       0       0      *      4      139      233        220        0             0              0             1058        0               0              0                3       0       0       0       0       0       0       0       3       0       0       3       3
384       "Add Poison Improved"                12       46      0       6       0       0       6      1      4      55       1          30         0             0              0             140         0               0              0                3       0       0       0       0       0       0       0       3       0       0       0       0
385       "Add Evil Spirit Improved"           45       108     0       0       6       0       6      1      4      0        9          50         0             0              0             220         0               0              0                3       0       0       0       0       0       0       0       3       0       0       0       0
386       "Add Magic Damage"                   0        0       0       0       0       0       0      *      3      0        0          50         0             0              0             0           0               0              0                3       0       0       0       0       0       0       0       3       0       3       3       3
387       "Add Decay Improved"                 95       120     10      6       4       0       6      1      4      55       38         96         0             0              0             953         0               0              0                3       0       0       0       0       0       0       0       3       0       0       0       0
388       "Add Hell Fire Improved"             120      176     0       0       6       0       6      1      4      0        10         60         0             0              0             260         0               0              0                3       0       0       0       0       0       0       0       3       0       0       0       0
389       "Add Ice Improved"                   10       42      0       6       0       0       6      1      4      56       7          25         0             0              0             120         0               0              0                3       0       0       0       0       0       0       0       3       0       0       3       3
390       "Add Meteorite Improved"             21       13      0       6       0       0       6      1      4      0        2          21         0             0              0             104         0               0              0                3       0       0       0       0       0       0       0       3       0       0       0       0
391       "Add Ice Storm Improved"             80       110     5       6       4       0       6      1      4      56       39         93         0             0              0             849         0               0              0                3       0       0       0       0       0       0       0       3       0       0       0       3
392       "Add Nova Improved"                  0        198     49      0       6       0       6      1      4      0        40         100        0             0              0             1052        0               0              0                3       0       0       0       0       0       0       0       3       0       0       3       0
393       "Add Ice Storm Enhanced"             80       110     5       6       4       0       6      1      4      56       39         93         0             0              0             849         0               0              0                3       0       0       0       0       0       0       0       3       0       0       0       0
394       "Add Meteorite Enhanced"             21       14      0       6       0       0       6      1      4      0        2          21         0             0              0             104         0               0              0                3       0       0       0       0       0       0       0       3       0       0       0       0
397       "Add One Hand Staff Damage"          0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       0       0       3       0       0       0       0       0       0       0       3       0
398       "Add Two Hand Staff Damage"          0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       0       0       3       0       0       0       0       0       0       0       0       0
399       "Add Shield Defense"                 0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       0       0       0       0       0       0       0       3       0       0       0       3
400       "Add One Hand Staff Mastery"         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       0       0       3       0       0       0       0       0       0       0       3       0
401       "Add Two Hand Staff Mastery"         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       0       0       3       0       0       0       0       0       0       0       0       0
402       "Add Shield Mastery"                 0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       0       0       0       0       0       0       0       3       0       0       0       3
403       "Add Mana Shield Improved"           0        77      24      6       0       0       0      *      4      4        16         77         0             0              0             408         0               0              0                3       0       0       0       0       0       0       0       0       0       0       0       0
404       "Add Mana Shield Enhanced"           0        84      26      6       0       0       0      *      4      4        16         77         0             0              0             408         0               0              0                3       0       0       0       0       0       0       0       0       0       0       0       0
405       "Add Min Magic Damage"               0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       0       0       3       0       0       0       0       3       0       3       3       3
406       "Add Mana Shield Mastered"           0        92      28      6       0       0       0      *      4      140      16         77         0             0              0             408         0               0              0                3       0       0       0       0       0       0       0       0       0       0       0       0
407       "Add Max Magic Damage"               0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       0       0       3       0       0       0       0       3       0       3       3       3
410       "Add FE Wing Defense"                0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
411       "Add Multi Shot Improved"            40       11      7       0       6       0       6      0      4      0        235        100        0             0              0             0           0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
412       "Add FE Wing Damage"                 0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
413       "Add Heal Improved"                  0        22      0       6       0       0       0      *      4      0        26         8          0             0              0             52          0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
414       "Add Triple Shot Improved"           0        5       0       0       6       0       6      0      4      0        24         0          0             0              0             0           0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
415       "Add Summon Life"                    0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
416       "Add Penetration Improved"           70       10      11      0       6       0       6      0      4      0        52         130        0             0              0             0           0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
417       "Add Greater Defense Improved"       0        33      0       6       0       0       0      *      4      2        27         13         0             0              0             72          0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
418       "Add Triple Shot Enhanced"           0        9       0       0       6       0       6      0      4      0        24         0          0             0              0             0           0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
419       "Add Summon Defense"                 0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
420       "Add Greater Damage Improved"        0        44      0       6       0       0       0      *      4      1        28         18         0             0              0             92          0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
421       "Add Weapon Damage"                  0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
422       "Add Greater Damage Enhanced"        0        48      0       6       0       0       0      *      4      1        28         18         0             0              0             92          0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
423       "Add Greater Defense Enhanced"       0        36      0       6       0       0       0      *      4      2        27         13         0             0              0             72          0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
424       "Add Ice Arrow Improved"             105      15      18      8       0       0       6      0      4      57       51         0          0             646            0             0           0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
425       "Add Cure"                           0        72      10      6       0       3000    0      *      4      0        425        0          0             0              0             0           0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       3
426       "Add Party Healing"                  0        66      12      6       6       5000    0      *      4      0        426        0          0             0              0             20          0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
427       "Add Poison Arrow"                   0        50      50      6       0       1000    6      0      4      159      427        0          0             0              0             0           0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
428       "Add Summon Damage"                  0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
429       "Add Party Healing Improved"         0        72      13      6       6       3000    0      *      4      0        426        0          0             0              0             20          0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
430       "Add Bless"                          0        108     18      6       0       3000    0      *      4      142      430        0          0             0              0             20          0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
431       "Add Multi Shot Enhanced"            40       12      8       0       6       0       6      0      4      0        235        100        0             0              0             0           0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
432       "Add Summon Satyros"                 0        525     52      0       0       0       0      *      4      0        432        0          0             0              0             300         0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
